url,date,homeTeam,homeScore,awayTeam,awayScore,Data Player?,Data Events?,Teams,ELO home,ELO away,H expected,A expected,Result H,G,ELO h new,ELO a new,Ca team h,Ca team a,Goal diff H,Speelronde H,Speelronde A,Punten H,Punten A,Cum P H,Cum P A,Rank H,Rank A
https://www.rbfa.be/nl/wedstrijd/6749446,29/03/2025,K. FC Varsenare A,2,K.S.K. Oostnieuwkerke,0,0,0,K. FC Varsenare A - K.S.K. Oostnieuwkerke,1492,1298,"0,75","0,25",1,"1,5",1503,1287,"0,3101","-0,3101",2,27,27,3,0,35,18,8,16
https://www.rbfa.be/nl/wedstrijd/6749447,29/03/2025,K. VC Ardooie A,1,K. SV Rumbeke,1,0,0,K. VC Ardooie A - K. SV Rumbeke,1482,1787,"0,15","0,85","0,5",1,1492,1776,"0,3527","-0,3527",0,27,27,1,1,30,74,9,1
https://www.rbfa.be/nl/wedstrijd/6749450,30/03/2025,Jong Male K.V.V.,1,K.R.C. Waregem A,4,0,0,Jong Male K.V.V. - K.R.C. Waregem A,1427,1572,"0,30","0,70",0,"1,75",1411,1588,"-0,4356","0,4356",-3,27,27,0,3,28,46,11,4
https://www.rbfa.be/nl/wedstrijd/6749451,5/04/2025,Zwevegem Sport,2,K. Exc. Zedelgem,2,0,0,Zwevegem Sport - K. Exc. Zedelgem,1581,1409,"0,73","0,27","0,5",1,1575,1416,"-0,2294","0,2294",0,28,28,1,1,50,28,3,12
https://www.rbfa.be/nl/wedstrijd/6749456,5/04/2025,K. SV Bredene A,5,FC Sp. Heestert A,2,0,0,K. SV Bredene A - FC Sp. Heestert A,1340,1551,"0,23","0,77",1,"1,75",1381,1511,"1,1123","-1,1123",3,28,28,3,0,28,44,12,5
https://www.rbfa.be/nl/wedstrijd/6749454,5/04/2025,K. WS Houthulst A,1,K. FC Marke A,3,0,0,K. WS Houthulst A - K. FC Marke A,1399,1527,"0,32","0,68",0,"1,5",1384,1541,"-0,4079","0,4079",-2,28,28,0,3,23,42,15,7
https://www.rbfa.be/nl/wedstrijd/6749453,5/04/2025,K.S.K. Oostnieuwkerke,1,K. Sassp. Boezinge A,5,0,0,K.S.K. Oostnieuwkerke - K. Sassp. Boezinge A,1287,1706,"0,08","0,92",0,"1,875",1282,1711,"-0,1301","0,1301",-4,28,28,0,3,18,66,16,2
https://www.rbfa.be/nl/wedstrijd/6749452,5/04/2025,K.F.C. Moen,2,Jong Male K.V.V.,0,0,0,K.F.C. Moen - Jong Male K.V.V.,1430,1411,"0,53","0,47",1,"1,5",1451,1390,"0,5949","-0,5949",2,28,28,3,0,33,28,9,12
https://www.rbfa.be/nl/wedstrijd/6749458,5/04/2025,Club Roeselare,2,K. VC Ardooie A,0,0,0,Club Roeselare - K. VC Ardooie A,1430,1492,"0,41","0,59",1,"1,5",1456,1466,"0,7422","-0,7422",2,28,28,3,0,29,30,11,10
https://www.rbfa.be/nl/wedstrijd/6749455,5/04/2025,K. SV Rumbeke,2,S.V. Wevelgem City A,1,0,0,K. SV Rumbeke - S.V. Wevelgem City A,1776,1568,"0,77","0,23",1,1,1783,1561,"0,2315","-0,2315",1,28,28,3,0,77,43,1,6
https://www.rbfa.be/nl/wedstrijd/6749457,6/04/2025,K.R.C. Waregem A,0,K. FC Varsenare A,0,0,0,K.R.C. Waregem A - K. FC Varsenare A,1588,1503,"0,62","0,38","0,5",1,1585,1507,"-0,1196","0,1196",0,28,28,1,1,47,36,4,8
https://www.rbfa.be/nl/wedstrijd/6749459,12/04/2025,K. Sassp. Boezinge A,1,K. SV Bredene A,3,0,0,K. Sassp. Boezinge A - K. SV Bredene A,1711,1381,"0,87","0,13",0,"1,5",1672,1420,"-1,0962","1,0962",-2,29,29,0,3,66,31,2,11
https://www.rbfa.be/nl/wedstrijd/6749462,12/04/2025,S.V. Wevelgem City A,1,K. FC Marke A,3,0,0,S.V. Wevelgem City A - K. FC Marke A,1561,1541,"0,53","0,47",0,"1,5",1537,1565,"-0,6650","0,6650",-2,29,29,0,3,43,45,7,6
https://www.rbfa.be/nl/wedstrijd/6749465,12/04/2025,FC Sp. Heestert A,5,K. SV Rumbeke,2,0,0,FC Sp. Heestert A - K. SV Rumbeke,1511,1783,"0,17","0,83",1,"1,75",1554,1740,"1,1934","-1,1934",3,29,29,3,0,47,77,5,1
https://www.rbfa.be/nl/wedstrijd/6749461,12/04/2025,K. Exc. Zedelgem,0,K.R.C. Waregem A,2,0,0,K. Exc. Zedelgem - K.R.C. Waregem A,1416,1585,"0,27","0,73",0,"1,5",1404,1597,"-0,3464","0,3464",-2,29,29,0,3,28,50,13,4
https://www.rbfa.be/nl/wedstrijd/6749463,12/04/2025,K. FC Varsenare A,2,Club Roeselare,1,0,0,K. FC Varsenare A - Club Roeselare,1507,1456,"0,57","0,43",1,1,1520,1443,"0,4276","-0,4276",1,29,29,3,0,39,29,8,12
https://www.rbfa.be/nl/wedstrijd/6749464,12/04/2025,K. VC Ardooie A,6,K.F.C. Moen,3,0,0,K. VC Ardooie A - K.F.C. Moen,1466,1451,"0,52","0,48",1,"1,75",1491,1426,"0,6914","-0,6914",3,29,29,3,0,33,33,9,9
https://www.rbfa.be/nl/wedstrijd/6749466,13/04/2025,Jong Male K.V.V.,2,K. WS Houthulst A,3,0,0,Jong Male K.V.V. - K. WS Houthulst A,1390,1384,"0,51","0,49",0,1,1374,1400,"-0,5076","0,5076",-1,29,29,0,3,28,26,13,15
https://www.rbfa.be/nl/wedstrijd/6749460,13/04/2025,K.S.K. Oostnieuwkerke,1,Zwevegem Sport,8,0,0,K.S.K. Oostnieuwkerke - Zwevegem Sport,1282,1575,"0,16","0,84",0,"2,25",1272,1585,"-0,2996","0,2996",-7,29,29,0,3,18,53,16,3
https://www.rbfa.be/nl/wedstrijd/6749477,27/04/2025,K.R.C. Waregem A,8,K.S.K. Oostnieuwkerke,0,0,0,K.R.C. Waregem A - K.S.K. Oostnieuwkerke,1597,1272,"0,87","0,13",1,"2,375",1606,1262,"0,2664","-0,2664",8,30,30,3,0,53,18,4,16
https://www.rbfa.be/nl/wedstrijd/6749480,27/04/2025,K. SV Rumbeke,5,Jong Male K.V.V.,1,0,0,K. SV Rumbeke - Jong Male K.V.V.,1740,1374,"0,89","0,11",1,"1,875",1746,1368,"0,1728","-0,1728",4,30,30,3,0,80,28,1,14
https://www.rbfa.be/nl/wedstrijd/6749478,27/04/2025,K. WS Houthulst A,5,K. VC Ardooie A,2,0,0,K. WS Houthulst A - K. VC Ardooie A,1400,1491,"0,37","0,63",1,"1,75",1433,1458,"0,9065","-0,9065",3,30,30,3,0,29,33,13,10
https://www.rbfa.be/nl/wedstrijd/6749467,27/04/2025,K.F.C. Moen,1,S.V. Wevelgem City A,1,0,0,K.F.C. Moen - S.V. Wevelgem City A,1426,1537,"0,35","0,65","0,5",1,1431,1532,"0,1542","-0,1542",0,30,30,1,1,34,44,9,7
https://www.rbfa.be/nl/wedstrijd/6749481,27/04/2025,Club Roeselare,4,K. Exc. Zedelgem,0,0,0,Club Roeselare - K. Exc. Zedelgem,1443,1404,"0,56","0,44",1,"1,875",1468,1379,"0,7034","-0,7034",4,30,30,3,0,32,28,11,14
https://www.rbfa.be/nl/wedstrijd/6749468,27/04/2025,Zwevegem Sport,1,K. Sassp. Boezinge A,1,0,0,Zwevegem Sport - K. Sassp. Boezinge A,1585,1672,"0,38","0,62","0,5",1,1589,1668,"0,1222","-0,1222",0,30,30,1,1,54,67,3,2
https://www.rbfa.be/nl/wedstrijd/6749479,27/04/2025,K. FC Marke A,0,FC Sp. Heestert A,3,0,0,K. FC Marke A - FC Sp. Heestert A,1565,1554,"0,52","0,48",0,"1,75",1538,1581,"-0,7439","0,7439",-3,30,30,0,3,45,50,6,5
https://www.rbfa.be/nl/wedstrijd/6749476,27/04/2025,K. SV Bredene A,2,K. FC Varsenare A,3,0,0,K. SV Bredene A - K. FC Varsenare A,1420,1520,"0,36","0,64",0,1,1409,1531,"-0,3600","0,3600",-1,30,30,0,3,31,42,12,8
