Team,Speler,Selecties,Gestart,Ingevallen,Vervangen,Speelminuten,Goals,Penalties,Own Goals,Geel,Dubbelgeel,Rood,Clean sheets,Kapitein,Type,MVP p>20/90min,Goals/90min,Geel/90min,Selecties L5,Gestart L5,Ingevallen L5,Vervangen L5,Speelminuten L5,Goals L5,Penalties L5,Own goals L5,Geel L5,Dubbelgeel L5,Rood L5,Clean sheet L5,Kapitein L5,RAPM_per90,RAPM_off_per90,RAPM_def_per90,RAPM_SE_per90,RAPM_CI_low,RAPM_CI_high,RAPM_z,xPPM_per90,xPPM_SE,xPPM_CI_low,xPPM_CI_high,xPPM_z
K. FC Varsenare A,Briek Crevits,11,0,9,0,120,1,0,0,1,0,0,0,0,Speler,0.79,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32,-0.796,-0.796,2.33,-5.887,3.247,-0.57,-1.055,1.575,-4.141,2.032,-0.67
K. FC Varsenare A,Eleazar Osei-Berkoe,16,11,5,8,923,4,0,0,1,0,0,0,0,Speler,0.745,0.39,0.098,5,2,3,1,215,2,0,0,0,0,0,0,0,1.073,0.657,0.657,1.648,-2.158,4.303,0.65,0.883,1.158,-1.386,3.152,0.76
K. FC Varsenare A,Gaëtan Deschepper,22,21,0,0,1840,1,0,0,1,0,1,0,1,Speler,0.647,0.049,0.049,5,5,0,0,450,0,0,0,0,0,0,0,0,0.293,0.16,0.16,1.748,-3.132,3.718,0.17,0.128,1.225,-2.273,2.529,0.1
K. FC Varsenare A,Ilko Kesteleyn,21,20,1,5,1657,0,0,0,2,0,0,0,0,Speler,0.507,0.0,0.109,5,5,0,2,401,0,0,0,0,0,0,0,0,-0.744,-0.53,-0.53,1.714,-4.103,2.614,-0.43,-0.635,1.185,-2.958,1.688,-0.54
K. FC Varsenare A,Jari Van De Maele,25,25,0,6,2226,12,0,0,0,0,0,0,0,Speler,0.596,0.485,0.0,5,5,0,2,428,3,0,0,0,0,0,0,0,-0.703,-0.622,-0.622,2.657,-5.911,4.504,-0.26,-0.413,1.728,-3.799,2.974,-0.24
K. FC Varsenare A,Jerzy Mestdagh,24,24,0,10,2056,12,0,0,2,0,0,0,0,Speler,0.638,0.525,0.088,4,4,0,2,326,2,0,0,0,0,0,0,0,1.086,0.812,0.812,2.088,-3.006,5.177,0.52,1.898,1.42,-0.884,4.68,1.34
K. FC Varsenare A,Kenneth Vonck,24,24,0,2,2118,0,0,0,0,0,0,4,0,Keeper,0.575,0.0,0.0,5,5,0,1,431,0,0,0,0,0,0,2,0,-0.626,-0.394,-0.394,2.572,-5.667,4.415,-0.24,0.021,1.657,-3.227,3.27,0.01
K. FC Varsenare A,Kiron Beernaert,6,2,4,1,226,0,0,0,0,0,0,0,0,Speler,0.253,0.0,0.0,2,0,2,0,34,0,0,0,0,0,0,0,0,1.13,1.082,1.082,2.09,-2.967,5.227,0.54,0.186,1.436,-2.628,3.001,0.13
K. FC Varsenare A,Martijn Ameel,15,6,6,2,636,0,0,0,0,0,0,0,0,Speler,0.414,0.0,0.0,3,0,2,0,45,0,0,0,0,0,0,0,0,0.997,0.832,0.832,1.785,-2.502,4.496,0.56,-0.619,1.244,-3.057,1.819,-0.5
K. FC Varsenare A,Matteo Compernolle,7,1,6,0,158,1,0,0,0,0,0,0,0,Speler,0.709,0.57,0.0,5,1,4,0,150,0,0,0,0,0,0,0,0,0.735,0.345,0.345,2.457,-4.081,5.55,0.3,0.236,1.623,-2.945,3.418,0.15
K. FC Varsenare A,Olivier Delcampe,22,22,0,1,1898,0,0,0,2,0,0,0,14,Speler,0.667,0.0,0.095,5,5,0,0,450,0,0,0,0,0,0,0,5,-0.103,-0.407,-0.407,2.209,-4.433,4.227,-0.05,-0.182,1.473,-3.069,2.704,-0.12
