date,homeTeam,awayTeam,homeScore,awayScore,elo_home_before,elo_away_before,expected_home,expected_away,result_home,result_away,G,elo_home_after,elo_away_after
18/01/2026,K. WS Oudenburg,FC Sp. Heestert A,1,0,1398.88,1541.02,0.3061,0.6939,1.0,0.0,1.0,1419.7,1520.21
18/01/2026,K. SV Moorsele A,S.V. Wevelgem City A,0,0,1419.08,1451.51,0.4535,0.5465,0.5,0.5,1.0,1420.47,1450.11
18/01/2026,K. SV Bredene A,K. RC Bissegem,1,2,1222.88,1542.52,0.1371,0.8629,0.0,1.0,1.0,1218.77,1546.63
18/01/2026,K. FC Heist A,Zwevegem Sport,3,2,1515.72,1588.79,0.3964,0.6036,1.0,0.0,1.0,1533.83,1570.68
18/01/2026,K.R.C. Waregem A,K. VC Ardooie A,3,0,1549.65,1518.2,0.5451,0.4549,1.0,0.0,1.75,1573.53,1494.32
24/01/2026,Zwevegem Sport,K.R.C. Waregem A,2,0,1570.68,1573.53,0.4959,0.5041,1.0,0.0,1.625,1595.26,1548.95
24/01/2026,S.V. Wevelgem City A,K. SV Bredene A,6,0,1450.11,1218.77,0.7911,0.2089,1.0,0.0,2.125,1463.43,1205.45
24/01/2026,K. FC Varsenare A,K. Eendr. Wervik A,2,0,1522.4,1588.91,0.4054,0.5946,1.0,0.0,1.625,1551.38,1559.92
25/01/2026,K.S.C. Wielsbeke,K. RC Bissegem,2,1,1619.44,1546.63,0.6033,0.3967,1.0,0.0,1.0,1631.34,1534.73
25/01/2026,K. VC Ardooie A,KFC Aalbeke Sport A,2,3,1494.32,1484.5,0.5141,0.4859,0.0,1.0,1.0,1478.9,1499.92
25/01/2026,K. FC Heist A,Club Roeselare,3,0,1533.83,1460.83,0.6035,0.3965,1.0,0.0,1.75,1554.64,1440.01
25/01/2026,FC Sp. Heestert A,K. SV Moorsele A,2,3,1520.21,1420.47,0.6397,0.3603,0.0,1.0,1.0,1501.01,1439.66
25/01/2026,K. FC Marke A,K. WS Oudenburg,1,1,1575.69,1419.7,0.7105,0.2895,0.5,0.5,1.0,1569.37,1426.01
31/01/2026,KFC Aalbeke Sport A,K. FC Varsenare A,1,1,1499.92,1551.38,0.4265,0.5735,0.5,0.5,1.0,1502.13,1549.18
31/01/2026,K. Eendr. Wervik A,K. FC Marke A,1,0,1559.92,1569.37,0.4864,0.5136,1.0,0.0,1.0,1575.33,1553.96
01/02/2026,K. SV Moorsele A,K. VC Ardooie A,1,3,1439.66,1478.9,0.4438,0.5562,0.0,1.0,1.625,1418.03,1500.53
01/02/2026,K. RC Bissegem,S.V. Wevelgem City A,2,1,1534.73,1463.43,0.6012,0.3988,1.0,0.0,1.0,1546.69,1451.46
01/02/2026,K. SV Bredene A,K.S.C. Wielsbeke,2,3,1205.45,1631.34,0.0793,0.9207,0.0,1.0,1.0,1203.07,1633.72
01/02/2026,Club Roeselare,Zwevegem Sport,2,1,1440.01,1595.26,0.2904,0.7096,1.0,0.0,1.0,1461.3,1573.97
01/02/2026,K. WS Oudenburg,K. FC Heist A,4,1,1426.01,1554.64,0.3229,0.6771,1.0,0.0,1.75,1461.56,1519.09
01/02/2026,K.R.C. Waregem A,FC Sp. Heestert A,4,0,1548.95,1501.01,0.5686,0.4314,1.0,0.0,1.875,1573.22,1476.75
07/02/2026,Zwevegem Sport,K. WS Oudenburg,1,0,1573.97,1461.56,0.6563,0.3437,1.0,0.0,1.0,1584.28,1451.25
07/02/2026,S.V. Wevelgem City A,K. Eendr. Wervik A,1,0,1451.46,1575.33,0.3289,0.6711,1.0,0.0,1.0,1471.6,1555.2
07/02/2026,K. FC Varsenare A,K. RC Bissegem,2,3,1549.18,1546.69,0.5036,0.4964,0.0,1.0,1.0,1534.07,1561.8
08/02/2026,K. FC Heist A,KFC Aalbeke Sport A,0,0,1519.09,1502.13,0.5244,0.4756,0.5,0.5,1.0,1518.36,1502.86
08/02/2026,FC Sp. Heestert A,Club Roeselare,2,2,1476.75,1461.3,0.5222,0.4778,0.5,0.5,1.0,1476.08,1461.97
08/02/2026,K.S.C. Wielsbeke,K.R.C. Waregem A,4,1,1633.72,1573.22,0.5862,0.4138,1.0,0.0,1.75,1655.44,1551.5
08/02/2026,K. FC Marke A,K. SV Moorsele A,2,1,1553.96,1418.03,0.6862,0.3138,1.0,0.0,1.0,1563.38,1408.62
08/02/2026,K. VC Ardooie A,K. SV Bredene A,4,0,1500.53,1203.07,0.8471,0.1529,1.0,0.0,1.875,1509.13,1194.47
14/02/2026,K. FC Varsenare A,K. WS Oudenburg,2,0,1534.07,1451.25,0.617,0.383,1.0,0.0,1.625,1552.74,1432.58
14/02/2026,S.V. Wevelgem City A,K. FC Marke A,3,0,1471.6,1563.38,0.3709,0.6291,1.0,0.0,1.75,1504.62,1530.35
14/02/2026,K. RC Bissegem,K. Eendr. Wervik A,1,2,1561.8,1555.2,0.5095,0.4905,0.0,1.0,1.0,1546.51,1570.49
14/02/2026,Zwevegem Sport,K. SV Bredene A,5,0,1584.28,1194.47,0.9041,0.0959,1.0,0.0,2.0,1590.03,1188.72
15/02/2026,K. VC Ardooie A,Club Roeselare,2,1,1509.13,1461.97,0.5675,0.4325,1.0,0.0,1.0,1522.11,1448.99
15/02/2026,FC Sp. Heestert A,K. FC Heist A,5,3,1476.08,1518.36,0.4395,0.5605,1.0,0.0,1.625,1503.41,1491.03
21/02/2026,K. RC Bissegem,FC Sp. Heestert A,1,0,1546.51,1503.41,0.5617,0.4383,1.0,0.0,1.0,1559.66,1490.26
21/02/2026,KFC Aalbeke Sport A,Zwevegem Sport,0,0,1502.86,1590.03,0.3771,0.6229,0.5,0.5,1.0,1506.55,1586.34
